x_(px)  Y_(px)  Channel
265.81702 833.10392 2
265.99936 750.71887 2
266.02087 712.03283 1
266.08773 195.83462 2
266.63417 662.73695 2
266.97061 523.9908  2
267.33859 435.3297  1
267.67745 638.65657 2
268.13694 547.88801 2
268.83721 527.77191 1
269.73908 761.41628 2
270.3297  716.8321  2
270.78091 511.75685 2
271.05404 644.05914 1
271.27988 432.03525 2
272.06606 741.03902 2
273.97578 513.56935 1
274 839.49813 1
274.18055 544.32095 1
274.21366 765.31507 1
275.18946 885.52409 1
275.7304  737.01516 1
276.03014 539.77783 2
276.27307 529.37503 2
276.43238 725.43913 1
276.66429 449.45547 1
276.72091 444.07799 2
278.7312  730.74045 2
279.37081 466.02347 2
279.53433 533.11652 1
279.85176 842.1 2
280.55449 596.22709 2
280.64039 601.09515 1
280.80451 875.86795 1
280.93447 800.93524 1
282.06998 852.32165 2
282.48525 781.48861 1
283.00113 761.55501 2
283.01524 757.03958 1
283.18181 847.1025  1
283.72259 586.57491 2
283.91074 465.78231 1
283.97352 665.2654  2
284.09867 427.36629 2
284.24789 478.6653  2
284.37364 542.58378 2
285.49346 747.60632 1
286.17792 798.28619 2
286.22434 661.03034 1
286.4043  575.84414 2
286.78208 570.57017 1
286.80725 723.14432 1
286.97029 475.44395 1
286.97495 900.50948 1
287.10169 515.70601 2
287.37788 621.42782 2
287.39641 431.08887 1
287.50524 877.26515 2
287.53383 531.84032 1
288.29229 696.68368 1
288.34509 782.63198 2
288.9945  543.99423 1
289.336 580.35856 1
289.35734 763.3249  1
289.4155  848.99681 1
289.98163 515.06973 1
290.86334 633.05813 1
290.95333 529.51454 2
291.17917 816.39537 2
291.22751 619.43012 1
291.46458 893.52487 2
291.4904  718.31534 2
292.01377 804.45973 1
292.03127 452.56924 1
292.69826 498.98426 2
293.17304 609.95734 2
294.08357 697.7281  2
294.50827 501.97046 1
294.7739  414.76658 2
295.35056 768.76837 2
295.49925 470.55368 2
295.50287 731.03967 1
295.57634 630.41862 2
295.72136 848.77695 2
296.52436 449.94077 2
